uniprot_description,count
Serine/threonine-protein kinase PknF,1
Serine/threonine-protein kinase PknE,1
"Serine/threonine-protein kinase Pink1, mitochondrial",1
Serine/threonine-protein kinase PTK2/STK2,1
Serine/threonine-protein kinase PTK1/STK1,1
Serine/threonine-protein kinase PSK2,1
Serine/threonine-protein kinase PSK1,1
Serine/threonine-protein kinase PRKX,1
Serine/threonine-protein kinase PKH3,1
Serine/threonine-protein kinase D6PKL2,1
Serine/threonine-protein kinase D1044.8,1
Serine/threonine-protein kinase SKS1,1
Serine/threonine protein phosphatase-like protein,1
Serine/threonine protein phosphatase PstP,1
Serine/threonine protein phosphatase PP1,1
"Serine/threonine protein phosphatase CPPED1, putative",1
"Serine/threonine protein phosphatase 2a regulatory subunit, putative",1
"Serine/threonine protein phosphatase 2a regulatory subunit A, putative",1
Serine/threonine protein phosphatase 2A regulatory subunit B''beta,1
Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' zeta isoform,1
Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' gamma isoform,1
Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' theta isoform,1
Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' epsilon isoform,1
Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform,1
Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' alpha isoform,1
"Serine/threonine protein kinase VPS15, putative",1
Serine/threonine protein kinase RdoA,1
Serine/threonine protein kinase PK9,1
Serine/threonine protein kinase OSK4,1
Serine/threonine protein kinase OSK3,1
Serine/threonine protein kinase OSK1,1
Serine/threonine protein kinase KIN1,1
Serine/threonine protein kinase 26,1
Serine/threonine phosphoprotein phosphatase Stp1,1
Serine/threonine kinase; cAMP-dependent protein kinase catalytic subunit,1
Serine/threonine kinase-like protein,1
Serine/threonine kinase receptor-associated protein,1
Serine/threonine kinase protein,1
Serine/threonine kinase SAD-1,1
Serine/threonine kinase NLK,1
Serine/threonine kinase 38b,1
Serine/threonine kinase 38a,1
"Serine/threonine protein phosphatase UIS2, putative",1
Serine/threonine-protein kinase 17A,1
Serine/threonine-protein kinase D,1
Serine/threonine-protein kinase 19 homolog,1
Serine/threonine-protein kinase Cx32,1
Serine/threonine-protein kinase CST20,1
Serine/threonine-protein kinase CHK1,1
Serine/threonine-protein kinase CG17528,1
Serine/threonine-protein kinase CAK1,1
Serine/threonine-protein kinase BSK8,1
Serine/threonine-protein kinase BSK7,1
Serine/threonine-protein kinase BSK6,1
Serine/threonine-protein kinase BSK5,1
Serine/threonine-protein kinase BSK4,1
Serine/threonine-protein kinase BSK3,1
Serine/threonine-protein kinase BSK2,1
Serine/threonine-protein kinase BSK11,1
Serine/threonine-protein kinase BSK1-2,1
Serine/threonine-protein kinase BSK1,1
Serine/threonine-protein kinase BRI1-like 2,1
Serine/threonine-protein kinase BRI1-like 1,1
Serine/threonine-protein kinase BIK1,1
Serine/threonine-protein kinase BCK1/SLK1/SSP31,1
Serine/threonine-protein kinase Aurora-3,1
Serine/threonine-protein kinase Aurora-2,1
Serine/threonine-protein kinase Aurora-1,1
Serine/threonine-protein kinase AtPK2/AtPK19,1
Serine/threonine-protein kinase ATM,1
Serine/threonine-protein kinase ATG1b,1
Serine/threonine-protein kinase AKL1,1
Serine/threonine-protein kinase AGC1-7,1
Serine/threonine-protein kinase 4 homolog B,1
Serine/threonine-protein kinase 4 homolog A,1
Serine/threonine-protein kinase SKM1,1
Serine/threonine-protein kinase SRK2B,1
Serine and arginine-rich-splicing factor 5a,1
Serine/threonine-protein kinase polo,1
Serine/threonine-protein kinase plk-2,1
Serine/threonine-protein kinase plk-1,1
Serine/threonine-protein kinase pknE,1
Serine/threonine-protein kinase pknB,1
Serine/threonine-protein kinase pkn5,1
"Serine/threonine-protein kinase pink-1, mitochondrial",1
Serine/threonine-protein kinase phg2,1
Serine/threonine-protein kinase pelle,1
Serine/threonine-protein kinase pef1,1
Serine/threonine-protein kinase pdik1l,1
Serine/threonine-protein kinase pctaire-3,1
Serine/threonine-protein kinase par-1,1
Serine/threonine-protein kinase pakH,1
Serine/threonine-protein kinase pakF,1
Serine/threonine-protein kinase pakE,1
Serine/threonine-protein kinase pakD,1
Serine/threonine-protein kinase pakC,1
Serine/threonine-protein kinase pakB,1
Serine/threonine-protein kinase pakA,1
Serine/threonine-protein kinase pak-2,1
Serine/threonine-protein kinase pak-1,1
Serine/threonine-protein kinase orb6,1
Serine/threonine-protein kinase nekl-3,1
Serine/threonine-protein kinase nekl-2,1
Serine/threonine-protein kinase mug51,1
Serine/threonine-protein kinase mrck-1,1
Serine/threonine-protein kinase minibrain,1
Serine/threonine-protein kinase mig-15,1
Serine/threonine-protein kinase meng-po,1
Serine/threonine-protein kinase plk-3,1
Serine/threonine-protein kinase ppk1,1
Serine/threonine-protein kinase ksg1,1
Serine/threonine-protein kinase ppk14,1
Serine/threonine-protein kinase ssn3,1
Serine/threonine-protein kinase srb10,1
Serine/threonine-protein kinase spk-1,1
Serine/threonine-protein kinase spe-6,1
Serine/threonine-protein kinase smg-1,1
Serine/threonine-protein kinase sid1,1
Serine/threonine-protein kinase shk2,1
Serine/threonine-protein kinase shk1/pak1,1
Serine/threonine-protein kinase sepA,1
Serine/threonine-protein kinase sel-5,1
Serine/threonine-protein kinase sck2,1
Serine/threonine-protein kinase sax-1,1
Serine/threonine-protein kinase rsbT,1
Serine/threonine-protein kinase ripk4,1
Serine/threonine-protein kinase receptor sma-6,1
Serine/threonine-protein kinase prpf4B,1
Serine/threonine-protein kinase prp4,1
Serine/threonine-protein kinase prk1,1
Serine/threonine-protein kinase prk-2,1
Serine/threonine-protein kinase ppk5,1
Serine/threonine-protein kinase ppk4,1
Serine/threonine-protein kinase ppk35,1
Serine/threonine-protein kinase ppk33,1
Serine/threonine-protein kinase ppk31,1
Serine/threonine-protein kinase ppk29,1
Serine/threonine-protein kinase ppk27,1
"Serine/threonine-protein kinase ppk24, mitochondrial",1
Serine/threonine-protein kinase ppk22,1
Serine/threonine-protein kinase ppk21,1
Serine/threonine-protein kinase max-2,1
Serine/threonine-protein kinase kin-29,1
Serine/threonine-protein kinase SRK2D,1
Serine/threonine-protein kinase Warts,1
Serine/threonine-protein kinase WNK,1
Serine/threonine-protein kinase WARTS homolog,1
Serine/threonine-protein kinase WAG1,1
Serine/threonine-protein kinase VHS1,1
Serine/threonine-protein kinase UCN,1
Serine/threonine-protein kinase Tor,1
Serine/threonine-protein kinase Tao,1
Serine/threonine-protein kinase TOS3,1
Serine/threonine-protein kinase TOR2,1
Serine/threonine-protein kinase TOR1,1
Serine/threonine-protein kinase TDA1,1
Serine/threonine-protein kinase StkP,1
Serine/threonine-protein kinase SULU,1
Serine/threonine-protein kinase STY8,1
Serine/threonine-protein kinase STY13,1
"Serine/threonine-protein kinase STN8, chloroplastic",1
Serine/threonine-protein kinase STN8 chloroplastic,1
"Serine/threonine-protein kinase STN7, chloroplastic",1
Serine/threonine-protein kinase STN7 chloroplastic,1
Serine/threonine-protein kinase STE7 homolog,1
Serine/threonine-protein kinase STE7,1
Serine/threonine-protein kinase STE20,1
Serine/threonine-protein kinase STE11,1
Serine/threonine-protein kinase SSK22,1
Serine/threonine-protein kinase SRK2J,1
Serine/threonine-protein kinase SRK2I,1
Serine/threonine-protein kinase SRK2H,1
Serine/threonine-protein kinase SRK2G,1
Serine/threonine-protein kinase SRK2F,1
Serine/threonine-protein kinase WNK8,1
Serine/threonine-protein kinase YPK1,1
Serine/threonine-protein kinase hippo,1
Serine/threonine-protein kinase YPK2/YKR2,1
Serine/threonine-protein kinase haspin homolog hrk1,1
Serine/threonine-protein kinase grp,1
Serine/threonine-protein kinase fused,1
Serine/threonine-protein kinase fray2,1
Serine/threonine-protein kinase fray1,1
Serine/threonine-protein kinase flr-4,1
Serine/threonine-protein kinase dyf-5,1
Serine/threonine-protein kinase dst4,1
Serine/threonine-protein kinase dst3,1
Serine/threonine-protein kinase dst2,1
Serine/threonine-protein kinase dst1,1
Serine/threonine-protein kinase dkf-2,1
Serine/threonine-protein kinase dkf-1,1
Serine/threonine-protein kinase cst-1,1
Serine/threonine-protein kinase csk1,1
Serine/threonine-protein kinase crk1,1
Serine/threonine-protein kinase chk2,1
Serine/threonine-protein kinase chk-2,1
Serine/threonine-protein kinase chk-1,1
Serine/threonine-protein kinase cds1,1
Serine/threonine-protein kinase bur1,1
Serine/threonine-protein kinase ark1,1
Serine/threonine-protein kinase akt-2,1
Serine/threonine-protein kinase akt-1,1
Serine/threonine-protein kinase ZRK7,1
Serine/threonine-protein kinase ZRK4,1
Serine/threonine-protein kinase ZRK3,1
Serine/threonine-protein kinase ZRK1,1
Serine/threonine-protein kinase YPK3,1
Serine/threonine kinase 38-like,1
Serine/threonine kinase 38,1
"Serine/threonine kinase 36 (fused homolog, Drosophila)",1
"Serine peptidase, putative serine peptidase, Clan SC, Family S9D",1
"Serine peptidase inhibitor, Kunitz type 1 b",1
"Serine peptidase inhibitor, Kunitz type 1 a",1
"Serine peptidase inhibitor, Kunitz type 1",1
"Serine peptidase inhibitor, Kazal type 8",1
"Serine peptidase inhibitor, Kazal type 5",1
"Serine peptidase inhibitor, Kazal type 2, tandem duplicate 5",1
"Serine peptidase inhibitor, Kazal type 2, tandem duplicate 4",1
"Serine peptidase inhibitor, Kazal type 2, tandem duplicate 3",1
"Serine peptidase inhibitor, Kazal type 2, tandem duplicate 2",1
"Serine peptidase inhibitor, Kazal type 2, tandem duplicate 1",1
Serine palmitoyltransferase-regulating protein TSC3,1
Serine palmitoyltransferase-like protein,1
"Serine palmitoyltransferase, long chain base subunit 2b",1
"Serine palmitoyltransferase, long chain base subunit 2a",1
"Serine palmitoyltransferase, long chain base subunit 1",1
"Serine incorporator 2,-like",1
Serine hydroxymethyltransferase 7,1
Serine hydroxymethyltransferase 6,1
Serine hydroxymethyltransferase 5,1
Serine hydroxymethyltransferase 4,1
"Serine hydroxymethyltransferase 3, chloroplastic",1
Serine hydroxymethyltransferase 3,1
"Serine hydroxymethyltransferase 2, mitochondrial",1
"Serine hydroxymethyltransferase 1, mitochondrial",1
Serine hydroxymethyltransferase 1 domain protein,1
Serine hydrolase-like protein DDB_G0286239,1
Serine hydrolase-like protein 2,1
Serine hydrolase-like 2,1
Serine hydrolase,1
"Serine peptidase inhibitor, Kunitz type 5",1
Serine protease 16,1
Serine decarboxylase 3,1
Serine protease 2,1
Serine protease SplE,1
Serine protease SplD,1
Serine protease SplC,1
Serine protease SplB,1
Serine protease SplA,1
"Serine protease SPPA, chloroplastic",1
Serine protease SPPA chloroplastic,1
Serine protease Rv3671c,1
Serine protease PepD,1
Serine protease Hayan,1
Serine protease HTRA1B,1
Serine protease HTRA1A,1
Serine protease HTR4,1
Serine protease FAM111B,1
Serine protease DegP,1
Serine protease 7,1
Serine protease 60.3,1
Serine protease 60.2,1
Serine protease 60.1,1
"Serine protease 59, tandem duplicate 1",1
Serine protease 58,1
Serine protease 52,1
Serine protease 51,1
Serine protease 50,1
Serine protease 47,1
Serine protease 44,1
Serine protease 37,1
Serine protease 3,1
Serine protease 28,1
"Serine esterase, putative",1
Serine decarboxylase 2,1
Serine/threonine kinase 36,1
Serine carboxypeptidase-like 21,1
Serine carboxypeptidase-like 2,1
Serine carboxypeptidase-like 17,1
Serine carboxypeptidase-like 16,1
Serine carboxypeptidase-like 15,1
Serine carboxypeptidase-like 14,1
Serine carboxypeptidase-like 13,1
Serine carboxypeptidase-like 12,1
Serine carboxypeptidase-like 11,1
Serine carboxypeptidase-like 10,1
Serine carboxypeptidase-like 1,1
Serine carboxypeptidase-like,1
Serine carboxypeptidase ctsa-4.1,1
Serine carboxypeptidase ctsa-3.2,1
Serine carboxypeptidase ctsa-3.1,1
Serine carboxypeptidase ctsa-1.2,1
Serine carboxypeptidase ctsa-1.1,1
Serine carboxypeptidase S10 family member 2,1
Serine carboxypeptidase S10 family member 1,1
Serine carboxypeptidase 3,1
Serine carboxypeptidase 24,1
"Serine carboxypeptidase (CBP1), putative",1
Serine carboxypeptidase,1
Serine and arginine-rich-splicing factor 9,1
Serine and arginine-rich-splicing factor 8,1
Serine and arginine-rich-splicing factor 7b,1
Serine and arginine-rich-splicing factor 7a,1
Serine and arginine-rich-splicing factor 6b,1
Serine and arginine-rich-splicing factor 6a,1
Serine and arginine-rich-splicing factor 5b,1
Serine carboxypeptidase-like 20,1
Serine carboxypeptidase-like 22,1
Serine decarboxylase 1,1
Serine carboxypeptidase-like 25,1
Serine carboxypeptidase1,1
Serine carboxypeptidase-like 9,1
Serine carboxypeptidase-like 8,1
Serine carboxypeptidase-like 7,1
Serine carboxypeptidase-like 6,1
Serine carboxypeptidase-like 5,1
Serine carboxypeptidase-like 49,1
Serine carboxypeptidase-like 48,1
Serine carboxypeptidase-like 47,1
Serine carboxypeptidase-like 46,1
Serine carboxypeptidase-like 45,1
Serine carboxypeptidase-like 44,1
Serine carboxypeptidase-like 43,1
Serine carboxypeptidase-like 42,1
Serine carboxypeptidase-like 41,1
Serine carboxypeptidase-like 40,1
Serine carboxypeptidase-like 4,1
Serine carboxypeptidase-like 39,1
Serine carboxypeptidase-like 38,1
Serine carboxypeptidase-like 37,1
Serine carboxypeptidase-like 36,1
Serine carboxypeptidase-like 35,1
Serine carboxypeptidase-like 34,1
Serine carboxypeptidase-like 32,1
Serine carboxypeptidase-like 31,1
Serine carboxypeptidase-like 3,1
Serine carboxypeptidase-like 29,1
Serine carboxypeptidase-like 28,1
Serine carboxypeptidase-like 27,1
Serine protease SplF,1
Serine protease easter,1
Serine protease filzig,1
Serine/arginine repetitive matrix protein 2 isoform 4,1
Serine/arginine repetitive matrix 4,1
Serine/arginine repetitive matrix 3,1
Serine/arginine repetitive matrix 1,1
Serine/alanine adding enzyme,1
"Serine/Threonine-kinase, putative (DUF1639)",1
Serine/Threonine-kinase ULK4-like protein,1
Serine/Threonine-kinase RLCKVII protein,1
Serine/Threonine-kinase Cx32 related protein,1
Serine/Threonine-kinase ATM,1
Serine/Threonine kinase kinase ATP-binding sugar-binding kinase carbohydrate-binding protein,1
Serine/Threonine kinase catalytic domain protein,1
Serine-type carboxypeptidase F,1
Serine-threonine protein kinase-like protein,1
Serine-threonine kinase receptor-associated protein-like,1
"Serine-threonine kinase receptor-associated protein (Strap), putative",1
"Serine-rich repeat protein 2, putative",1
Serine-rich protein-related,1
Serine-rich protein-like,1
Serine-rich protein TYE7,1
Serine-rich protein,1
Serine-rich antigen,1
Serine-rich adhesin for platelets-like protein,1
Serine-rich adhesin for platelets,1
Serine-repeat antigen protein 6,1
Serine-repeat antigen protein 5,1
Serine-pyruvate aminotransferase/ aspartate aminotransferase,1
Serine-protein kinase RsbW,1
Serine-peptidase 212,1
Serine-glyoxylate aminotransferase,1
Serine/arginine repetitive matrix protein,1
Serine/arginine repetitive matrix protein 5,1
Serine protease gd,1
Serine/arginine repetitive matrix-like protein,1
"Serine/threonine kinase 35,-like",1
Serine/threonine kinase 32C,1
Serine/threonine kinase 32B,1
Serine/threonine kinase 31,1
Serine/threonine kinase 26,1
Serine/threonine kinase 25a,1
"Serine/threonine kinase 25 (STE20 homolog, yeast)",1
Serine/threonine kinase 25,1
"Serine/threonine kinase 24b (STE20 homolog, yeast)",1
"Serine/threonine kinase 24a (STE20 homolog, yeast)",1
Serine/threonine kinase 19,1
Serine/threonine kinase 17a-like,1
Serine/threonine kinase 17a,1
Serine/threonine kinase 17B (Apoptosis-inducing),1
Serine/arginine-rich splicing factor SR34B,1
Serine/arginine-rich splicing factor SR34A,1
Serine/arginine-rich splicing factor SR30,1
Serine/arginine-rich splicing factor RSZ23,1
Serine/arginine-rich splicing factor RSZ22A,1
Serine/arginine-rich splicing factor RSZ21A,1
Serine/arginine-rich splicing factor RS41,1
Serine/arginine-rich splicing factor RS40,1
Serine/arginine-rich splicing factor RS31,1
Serine/arginine-rich splicing factor RS2Z33,1
Serine/arginine-rich splicing factor 8,1
Serine/arginine-rich splicing factor 1B,1
Serine/arginine-rich splicing factor 1A,1
Serine/arginine-rich splicing factor 11,1
Serine/arginine-rich SC35-like splicing factor SCL30A,1
Serine-enriched protein,1
Serine-aspartate repeat-containing protein D,1
Serine-aspartate repeat-containing protein C,1
"Serine-arginine repetitive matrix 2/3/4, isoform F",1
Serine protease inhibitor potato inhibitor I-type family protein,1
"Serine protease inhibitor kazal-like protein, minor form",1
Serine protease inhibitor Rv3364c,1
Serine protease inhibitor Kazal-type 9,1
Serine protease inhibitor Kazal-type 5,1
Serine protease inhibitor Kazal-type 3-like,1
Serine protease inhibitor Kazal-type 14-like,1
Serine protease inhibitor Kazal-type 12-like,1
Serine protease inhibitor Kazal-type 12,1
Serine protease inhibitor Kazal-type 11,1
Serine protease inhibitor Kazal-type 10,1
Serine protease inhibitor Kazal-type 1-like,1
Serine protease inhibitor A3L,1
Serine protease inhibitor A3G,1
Serine protease inhibitor A3F-like,1
Serine protease inhibitor A3F,1
Serine protease inhibitor A3C,1
Serine protease inhibitor A3B,1
Serine protease inhibitor A3A,1
Serine protease inhibitor 88Ea,1
Serine protease inhibitor 77Ba,1
Serine protease inhibitor 42Dd,1
Serine protease inhibitor 28Dc,1
Serine protease inhibitor 27A,1
Serine protease inhibitor 2.1,1
Serine protease inhibitor 2,1
Serine protease inhibitor 1 protein,1
Serine protease inhibitor 1,1
Serine protease grass,1
Serine protease inhibitor swm-1,1
"Serine protease inhibitor, Kunitz type 5",1
Serine protease nudel,1
Serine repeat antigen 4,1
"Serine-arginine protein kinase at 79D, isoform K",1
Serine-arginine protein 55,1
Serine--tRNA synthetase-like protein Slimp,1
"Serine--tRNA ligase, chloroplastic/mitochondrial",1
Serine--tRNA ligase cytoplasmic,1
Serine transporter (SdaC),1
Serine threonine tyrosine kinase,1
Serine threonine protein kinase,1
Serine threonine kinase 31,1
Serine threonine kinase,1
Serine repeat antigen 9,1
Serine repeat antigen 8,1
Serine repeat antigen 7,1
Serine repeat antigen 3,1
Serine protease persephone,1
Serine repeat antigen 2,1
Serine repeat antigen 1,1
Serine recombinase PinR,1
Serine recombinase PinQ,1
Serine recombinase PinE,1
Serine proteinase stubble,1
Serine proteinase,1
Serine protease/ABC transporter B family protein tagD,1
Serine protease/ABC transporter B family protein tagB,1
Serine protease/ABC transporter B family protein tagA,1
Serine protease-like protein 51,1
Serine protease svh-1,1
Serine protease snake,1
Scarecrow-like protein 13,1
Scarecrow-like protein 1,1
Si:dkey-149i17.9,1
SH2 domain-containing 7,1
SH2 domain-containing 4Bb,1
SH2 domain-containing 4Ba,1
SH2 domain-containing 4B,1
SH2 domain-containing 4A,1
SH2 domain-containing 3Cb,1
SH2 domain-containing 3Ca,1
SH2 domain-containing 1B2,1
SH2 domain-containing 1B,1
SH2 domain-containing 1A duplicate b,1
SH2 domain-containing 1A duplicate a,1
SH2 domain protein 2A,1
SH2 domain containing protein,1
SH2 domain containing 3C (Predicted),1
SH2 and SH3 2 and SH3 9 domain containing protein,1
SGT1-2,1
"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",1
SGT1 domain containing protein,1
SGT1 disease resistance protein homolog1,1
SGT1 and CS domain protein,1
SGS domain containing protein,1
SGLT3-b,1
SGF29 tudor-like domain,1
SGF14n,1
SGF14f,1
SGF14e,1
SGF14c,1
SGF14a,1
SF3b10 domain containing protein,1
SF3b1 domain containing protein,1
SH2 domain-containing 5,1
SH2 domain-containing adaptor protein B,1
SF16 protein,1
SH2 domain-containing protein 1B2,1
SH3 domain-binding glutamic acid-rich protein homolog,1
SH3 domain signaling protein,1
SH3 domain protein-like protein,1
SH3 domain binding glutamic acid-rich protein-like 3,1
SH3 domain binding glutamic acid-rich protein like 3,1
SH3 domain and tetratricopeptide repeat-containing protein 1,1
SH3 and multiple ankyrin repeat domains protein 2-like,1
SH3 and multiple ankyrin repeat domains 3b,1
SH3 and multiple ankyrin repeat domains 3a,1
SH3 and multiple ankyrin repeat domains 2b,1
SH3 and multiple ankyrin repeat domains 2a,1
SH3 and multiple ankyrin repeat domains 1,1
SH3 and cysteine rich domain 3 (Predicted),1
"SH3 and cysteine rich domain 2 (Predicted), isoform CRA_a",1
SH3 and PX domains 2Ab,1
SH3 and PX domains 2A,1
SH3 and F-BAR domain-containing protein DDB_G0274695,1
SH3 and F-BAR domain-containing protein DDB_G0271676,1
SH3 9 domain containing protein,1
SH3 9 and SH3 1 domain containing protein,1
SH3 9 and RhoGEF and SH3 2 and BAR and SH3 1 doma in containing protein,1
SH3 2 domain containing protein,1
SH3 2 and SH3 9 domain containing protein,1
SH2_2 domain-containing protein,1
SH2B adaptor protein 3,1
SH2B adaptor protein 1,1
SH2 domain-containing protein B,1
SH2 domain-containing protein A,1
SH2 domain-containing protein 3A,1
SF3a splicing factor complex subunit,1
SF1 binding protein candidate1,1
SH3 domain-binding protein 5 homolog,1
SET and MYND domain-containing 1a,1
"SET and MYND domain containing, class 4, member 1, isoform B",1
"SET and MYND domain containing, arthropod-specific, member 9, isoform A",1
"SET and MYND domain containing, arthropod-specific, member 6",1
"SET and MYND domain containing, arthropod-specific, member 4, isoform A",1
"SET and MYND domain containing, arthropod-specific, member 2",1
SET and MYND domain containing 5 (Predicted),1
SET and MYND domain containing 4 (Predicted),1
SERTA domain-containing 3,1
SERTA domain-containing 2b,1
SERTA domain-containing 2a,1
SERTA domain-containing 2,1
SERTA domain-containing 1,1
SERRATE_Ars2_N domain-containing protein,1
SERPINE1 mRNA-binding protein 1b,1
SERPINE1 mRNA-binding protein 1a,1
SERK1 protein,1
SERF-like protein YDL085C-A,1
SERF-like protein C1705.02,1
SEP_domain_containing_protein_-_putative,1
SEP_domain/UBX_domain_containing_protein_-_putative,1
SEO_C domain-containing protein,1
SEM1 26S proteasome complex subunit,1
SEM-4 long form,1
SELENBP1 ortholog with Methanethiol Oxidase activity,1
SEL1L family member 3,1
SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,1
SEL-7,1
SEL-1,1
SEED MATURATION PROTEIN 1,1
"SET and MYND domain containing, class 4, member 3",1
SET and MYND domain-containing 3,1
"SF-assemblin, putative",1
SET and MYND domain-containing 4,1
SEcretin/class B GPCR,1
SET_domain_containing_protein_-__putative,1
SET_domain/Tetratricopeptide_repeat_-_putative,1
SET-binding factor 2,1
SET nuclear proto-oncogene b,1
SET nuclear proto-oncogene a,1
"SET domain-containing protein SmydA-8, isoform A",1
SET domain-containing protein SET104,1
SET domain-containing protein DDB_G0283443,1
SET domain-containing protein 9,1
SET domain-containing protein 7,1
SET domain-containing protein 2,1
SET domain-containing protein 14,1
SET domain-containing 9,1
"SET domain-containing 1B, histone lysine methyltransferase b",1
SET domain protein123,1
SET domain protein 35,1
"SET domain binding factor, isoform A",1
SET domain bifurcated histone lysine methyltransferase 2,1
SET domain bifurcated histone lysine methyltransferase 1,1
SET domain and mariner transposase fusion gene,1
SET domain and MYND-type zinc finger protein 6,1
SET and MYND domain-containing protein DDB_G0292454,1
SET and MYND domain-containing protein DDB_G0292140,1
SET and MYND domain-containing protein DDB_G0288495,1
SET and MYND domain-containing protein DDB_G0284059,1
SET and MYND domain-containing protein DDB_G0277331,1
SET and MYND domain-containing protein DDB_G0273591,1
SET and MYND domain-containing protein DDB_G0273589,1
SH3 domain-binding protein 4-A,1
"SH3 domain-containing GRB2-like 2a, endophilin A1",1
SED5-binding protein 2,1
SKP1-like protein 16,1
SKP1-like protein 14,1
SKP1-like protein 13,1
SKP1-like protein 12,1
SKP1-like protein 11,1
SKP1-like protein 10,1
SKP1-like protein 1,1
SKIP/SNW_domain_containing_protein_-_putative,1
SKICH domain-containing protein,1
"SKI2 homolog, superkiller viralicidic activity 2-like",1
SKI/DACH domain-containing 1,1
SKI-like proto-oncogene b,1
SKI-like proto-oncogene a,1
SKI-like proto-oncogene,1
SKI family transcriptional corepressor 1a,1
SKI family transcriptional corepressor 1 homolog-B,1
SKI complex subunit tetratricopeptide repeat protein,1
SKI complex subunit WD repeat protein,1
SKI (Yeast SuperKIller) Helicase homolog,1
SIX homeobox 9,1
SIX homeobox 6b,1
SIX homeobox 6a,1
SIX homeobox 6,1
SIX homeobox 4b,1
SIX homeobox 4a,1
SIX homeobox 4,1
SIX homeobox 3a,1
SIX homeobox 2b,1
SIX homeobox 2,1
SIX homeobox 1,1
SKP1-like protein 15,1
SKP1-like protein 17,1
SIT4-associating protein SAP4,1
SKP1-like protein 18,1
"SLIT and NTRK-like family, member 2",1
"SLIT and NTRK-like family, member 1",1
SLH domain protein,1
SLED domain-containing protein,1
SLC3A2_N domain-containing protein,1
SLC2A4 regulator,1
SLBB domain protein,1
SLAIN motif-containing protein-like,1
"SLAIN motif family, member 1b",1
"SLAIN motif family, member 1a",1
"SLAIN motif family, member 1",1
"SLACS retrotransposable element (Part), putative",1
SL1278 acyltransferase Chp1,1
SKp1 Related (Ubiquitin ligase complex component),1
SKU5-similar 6,1
SKU5 similar 7,1
SKU5 similar 5,1
SKU5 similar 4,1
SKU5 similar 17,1
SKU5 similar 16,1
SKP1-related D,1
SKP1-like_protein,1
SKP1-like protein 9,1
SKP1-like protein 8,1
SKP1-like protein 7,1
SKP1-like protein 6,1
SKP1-like protein 3,1
SKP1-like protein 1B,1
SKP1-like protein 19,1
"SIVA1, apoptosis-inducing factor",1
SIT4-associating protein SAP185,1
"SH3 domain-containing GRB2-like 2b, endophilin A1",1
SHH-signaling and ciliogenesis regulator SDCCAG8,1
SHC-transforming protein homolog 1,1
SHC-binding and spindle-associated 1-like,1
SHC-binding and spindle-associated 1,1
SHC adaptor protein 4,1
SHC SH2-domain-binding protein 1,1
SHC (Src homology 2 domain-containing)-transforming protein 2,1
SHANK-associated RH domain-interacting protein,1
SH3_15 domain-containing protein,1
SH3_12 domain-containing protein,1
SH3_10 domain-containing protein,1
SH3GL-interacting endocytic adaptor 1b,1
SH3GL-interacting endocytic adaptor 1a,1
SH3BGR domain containing protein,1
SH3-domain-binding protein 5b (BTK-associated),1
SH3-domain-binding protein 5a (BTK-associated),1
SH3-domain-binding protein 4,1
SH3-domain-binding protein 1,1
SH3-domain kinase-binding protein 1,1
SH3-domain GRB2-like endophilin B2b,1
SH3-domain GRB2-like endophilin B2a,1
SH3-domain GRB2-like 3a,1
SH3-domain GRB2-like 3,1
SH3-domain GRB2-like 1b,1
"SH3-binding domain protein 5-like, a",1
SH3 domain-containing ring finger 2,1
SH3 domain-containing protein PJ696.02,1
SH3 domain-containing protein Dlish,1
SH3 domain-containing protein C23A1.17,1
SH3 domain-containing protein 1,1
SHD domain-containing protein,1
SHI,1
SIT4-associating protein SAP155,1
SHOCT domain-containing protein,1
SIS domain protein,1
SIS and HTH 6 domain containing protein,1
SIS 2 and DUF871 domain containing protein,1
SIR4-interacting protein SIF2,1
SIR2-like domain protein,1
SIR2 domain containing protein,1
"SIN3-HDAC complex-associated factor,-like",1
SIN3 transcription regulator family member Ab,1
SIN3 transcription regulator family member Aa,1
SIN3 transcription regulator family member A,1
"SIN3 homolog B, transcription regulator (Yeast)",1
SIN component scaffold protein Cdc11,1
SIM bHLH transcription factor 2,1
SIM bHLH transcription factor 1b,1
SIM bHLH transcription factor 1,1
SIL1 nucleotide exchange factor,1
SIGLEC-I,1
SIGLEC family-like protein 1,1
SIGLEC family-like 1,1
SIGIRR protein,1
"SID1 transmembrane family, member 2",1
SID1 transmembrane family,1
SI:dZ182N13.3 (Novel troponin I),1
SI:bY184L24.2.1 (Transcription factor spi1),1
SHUGOSHIN 2,1
SHUGOSHIN 1,1
SHS2_Rpb7-N domain-containing protein,1
SHREC complex subunit Mit1,1
SHQ1_protein_-_putative,1
SED5-binding protein 3,1
SECIS-binding protein 2-like,1
"Scarecrow, isoform A",1
SAL2 phosphatase,1
